#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
635,J1332-3032,313.396,31.490,0.650434,5.60e-16,1.537434,15.10,*,*,*,*,0.87,0.87,1.84e+07,8.04e+31,*
636,J1333-4449,310.774,17.403,0.345603,5.40e-19,2.893494,44.30,*,*,*,*,2.32,2.32,1.01e+10,5.16e+29,*
637,J1334-5839,308.520,3.749,0.107718,2.16e-17,9.283481,119.30,*,*,*,*,3.89,3.89,7.90e+07,6.82e+32,*
638,J1335-3642,312.713,25.332,0.399192,*,2.505060,41.70,*,*,*,*,4.11,4.11,*,*,*
639,J1337-6306,308.095,-0.696,0.207953,3.56e-16,4.808779,777.70,*,*,*,*,16.01,16.01,9.26e+06,1.56e+33,*
640,J1337-6423,307.889,-1.958,0.009423,2.47e-20,106.118735,259.20,ELL1,4.7853,13.0865,CO[kjb+12],6.30,6.30,6.05e+09,1.16e+33,9.220
641,B1334-61,308.373,0.305,1.238990,1.39e-14,0.807109,640.30,*,*,*,*,8.16,8.16,1.42e+06,2.88e+32,*
642,J1339-4712,311.424,14.869,0.137055,5.30e-19,7.296359,39.90,*,*,*,*,1.77,1.77,4.10e+09,8.13e+30,*
643,J1339-6618,307.786,-3.889,0.558179,3.50e-16,1.791539,241.00,*,*,*,*,7.62,7.62,2.53e+07,7.95e+31,*
644,B1336-64,308.047,-2.557,0.378622,5.05e-15,2.641156,76.99,*,*,*,*,1.92,1.92,1.19e+06,3.67e+33,*
645,J1341-6023,309.035,1.889,0.627285,1.95e-14,1.594171,364.60,*,*,*,*,7.03,7.03,5.11e+05,3.11e+33,*
646,B1338-62,308.730,-0.035,0.193340,2.53e-13,5.172242,717.30,*,*,*,*,8.55,8.55,1.21e+04,1.38e+36,*
647,J1342+2822A,42.209,78.709,0.002545,*,392.927308,26.50,*,*,*,*,9.90,1.80,*,*,*
648,J1342+2822B,42.220,78.709,0.002389,1.86e-20,418.511473,26.15,ELL1,1.4174,1.8757,He[hrs+07],9.90,1.80,2.04e+09,5.38e+34,*
649,J1342+2822C,42.209,78.709,0.002166,*,461.680517,26.50,*,*,*,*,9.90,1.80,*,*,*
650,J1342+2822D,42.215,78.712,0.005443,*,183.723050,26.36,DD,128.7520,38.5240,He[hrs+07],9.90,1.80,*,*,*
651,J1344-6059,309.341,1.216,0.540102,4.30e-17,1.851501,435.00,*,*,*,*,7.17,7.17,1.99e+08,1.08e+31,*
652,J1345-6115,309.414,0.928,1.253085,3.25e-15,0.798031,278.10,*,*,*,*,5.87,5.87,6.11e+06,6.52e+31,*
653,J1346-4918,312.059,12.594,0.299625,3.50e-17,3.337504,74.42,*,*,*,*,3.90,3.90,1.36e+08,5.14e+31,*
654,J1347-5947,309.914,2.318,0.609962,1.42e-14,1.639447,293.40,*,*,*,*,6.54,6.54,6.82e+05,2.46e+33,*
655,J1348-6307,309.353,-0.962,0.927772,3.79e-15,1.077851,597.00,*,*,*,*,8.18,8.18,3.88e+06,1.87e+32,*
656,J1349-6130,309.813,0.587,0.259363,5.13e-15,3.855602,284.60,*,*,*,*,5.82,5.82,8.02e+05,1.16e+34,*
657,J1349-63,309.237,-1.772,0.373034,*,2.680721,478.00,*,*,*,*,8.04,8.04,*,*,*
658,J1350-5115,312.233,10.549,0.295699,7.53e-16,3.381815,90.39,*,*,*,*,4.52,4.52,6.23e+06,1.15e+33,*
659,J1352-6803,308.614,-5.866,0.628903,1.23e-15,1.590071,214.60,*,*,*,*,14.24,14.24,8.07e+06,1.96e+32,*
660,J1354-6249,310.070,-0.832,2.951938,1.48e-14,0.338760,254.00,*,*,*,*,5.62,5.62,3.16e+06,2.27e+31,*
661,B1352-51,312.951,9.714,0.644301,2.81e-15,1.552069,112.10,*,*,*,*,6.47,6.47,3.63e+06,4.15e+32,*
662,J1355-5747,311.425,4.022,2.038674,7.15e-16,0.490515,229.00,*,*,*,*,7.58,7.58,4.52e+07,3.33e+30,*
663,J1355-5925,311.069,2.431,1.213381,5.99e-15,0.824143,354.80,*,*,*,*,8.43,8.43,3.21e+06,1.32e+32,*
664,J1355-6206,310.332,-0.156,0.276603,3.10e-18,3.615289,547.00,*,*,*,*,7.95,7.95,1.41e+09,5.78e+30,*
665,J1356-5521,312.199,6.337,0.507380,7.24e-16,1.970911,174.17,*,*,*,*,8.75,8.75,1.11e+07,2.19e+32,*
666,B1353-62,310.474,-0.565,0.455761,*,2.194132,416.80,*,*,*,*,6.94,6.94,*,*,*
667,J1357-6429,309.923,-2.514,0.166108,3.60e-13,6.020168,128.50,*,*,*,*,4.09,4.09,7.31e+03,3.10e+36,*
668,J1358-2533,321.485,34.887,0.912971,*,1.095325,31.27,*,*,*,*,3.08,3.08,*,*,*
669,B1356-60,311.239,1.126,0.127501,6.34e-15,7.843089,293.71,*,*,*,*,5.00,5.90,3.19e+05,1.21e+35,*
670,J1400-1438,326.894,44.997,0.003084,0.00e+00,324.229698,4.93,BT,9.5474,8.4211,He[rsm+13],0.27,0.27,*,*,*
671,J1400-6325,310.592,-1.593,0.031182,3.89e-14,32.070194,563.00,*,*,*,*,7.00,9.43,1.27e+04,5.07e+37,*
672,B1358-63,310.568,-2.140,0.842790,1.67e-14,1.186536,98.00,*,*,*,*,1.80,2.60,7.98e+05,1.10e+33,*
673,B1359-51,314.143,9.908,1.380177,*,0.724545,39.00,*,*,*,*,1.52,1.52,*,*,*
674,J1403-6310,310.928,-1.423,0.399170,9.00e-17,2.505197,305.00,*,*,*,*,6.14,6.14,7.03e+07,5.59e+31,*
675,J1403-7646,307.096,-14.494,1.306198,1.20e-15,0.765581,100.60,*,*,*,*,7.03,7.03,1.72e+07,2.13e+31,*
676,J1404+12,355.215,67.149,2.650270,*,0.377320,25.00,*,*,*,*,1.90,1.90,*,*,*
677,J1405-4656,315.826,14.079,0.007602,2.79e-20,131.540810,13.88,ELL1,8.9564,6.5677,He[btb+15],0.74,0.74,4.32e+09,2.51e+33,48.332
678,J1405-5641,312.971,4.737,0.617575,1.20e-15,1.619237,273.00,*,*,*,*,21.30,21.30,8.17e+06,2.01e+32,*
679,J1406-5806,312.673,3.345,0.288349,6.11e-16,3.468017,229.00,*,*,*,*,6.73,6.73,7.48e+06,1.01e+33,*
680,J1406-6121,311.841,0.203,0.213075,5.47e-14,4.693191,542.30,*,*,*,*,9.11,9.11,6.17e+04,2.23e+35,*
681,J1407-6048,312.130,0.681,0.492344,3.16e-15,2.031099,575.20,*,*,*,*,9.70,9.70,2.47e+06,1.04e+33,*
682,J1407-6153,311.810,-0.354,0.701615,8.85e-15,1.425283,645.00,*,*,*,*,9.75,9.75,1.26e+06,1.01e+33,*
683,J1409-6953,309.574,-8.031,0.528591,8.40e-16,1.891823,163.00,*,*,*,*,12.60,12.60,9.97e+06,2.25e+32,*
684,J1410-6132,312.196,-0.090,0.050052,3.20e-14,19.979243,960.00,*,*,*,*,30.00,30.00,2.48e+04,1.01e+37,*
685,J1410-7404,308.349,-12.043,0.278729,6.74e-18,3.587709,54.24,*,*,*,*,2.15,2.15,6.55e+08,1.23e+31,*
686,J1412-6111,312.597,0.140,0.529156,1.91e-15,1.889800,311.80,*,*,*,*,5.95,5.95,4.38e+06,5.10e+32,*
687,J1412-6145,312.324,-0.366,0.315225,9.87e-14,3.172338,514.70,*,*,*,*,9.32,9.32,5.06e+04,1.24e+35,*
688,J1412+7922,118.318,37.020,0.059198,4.00e-19,16.892402,*,*,*,*,*,*,*,2.34e+09,7.61e+31,*
689,J1413-6141,312.462,-0.337,0.285625,3.33e-13,3.501099,677.00,*,*,*,*,11.00,11.00,1.36e+04,5.65e+35,*
690,J1413-6205,312.373,-0.736,0.109741,2.77e-14,9.112390,*,*,*,*,*,*,*,6.28e+04,8.27e+35,*
691,J1413-6222,312.241,-0.988,0.292408,2.23e-15,3.419883,808.10,*,*,*,*,27.74,27.74,2.08e+06,3.52e+33,*
692,B1409-62,312.053,-1.718,0.394946,7.43e-15,2.531993,121.98,*,*,*,*,3.68,3.68,8.42e+05,4.76e+33,*
693,J1414-6802,310.590,-6.420,4.630188,6.39e-15,0.215974,153.50,*,*,*,*,6.60,6.60,1.15e+07,2.54e+30,*
694,J1415-6621,311.234,-4.846,0.392479,5.80e-16,2.547907,260.17,*,*,*,*,14.40,14.40,1.07e+07,3.79e+32,*
695,J1416-5033,316.504,10.055,0.794883,1.20e-16,1.258048,58.50,*,*,*,*,1.99,1.99,1.05e+08,9.43e+30,*
696,J1416-6037,313.179,0.535,0.295580,4.28e-15,3.383173,289.20,*,*,*,*,5.72,5.72,1.09e+06,6.54e+33,*
697,J1418-3921,320.820,20.461,1.096806,8.89e-16,0.911738,60.49,*,*,*,*,5.04,5.04,1.95e+07,2.66e+31,*
698,J1418-5945,313.706,1.287,1.672596,2.71e-16,0.597873,369.00,*,*,*,*,9.31,9.31,9.78e+07,2.29e+30,*
699,J1418-6058,313.325,0.135,0.110573,1.69e-13,9.043798,*,*,*,*,*,*,*,1.03e+04,4.95e+36,*
700,B1417-54,315.793,6.360,0.935772,2.37e-16,1.068636,129.60,*,*,*,*,4.90,4.90,6.26e+07,1.14e+31,*
701,J1420-5625,315.002,4.349,0.034117,6.75e-20,29.310788,64.56,BT,40.2945,29.5398,CO(?)[hfs+04],1.74,1.74,8.01e+09,6.71e+31,*
702,J1420-6048,313.541,0.227,0.068180,8.32e-14,14.667084,358.80,*,*,*,*,7.65,7.65,1.30e+04,1.04e+37,*
703,J1422-6138,313.519,-0.654,0.340968,9.68e-14,2.932828,*,*,*,*,*,*,*,5.58e+04,9.64e+34,*
704,J1423-6953,310.736,-8.430,0.333411,1.45e-15,2.999304,123.98,*,*,*,*,6.38,6.38,3.64e+06,1.55e+33,*
705,J1424-5556,315.718,4.614,0.770375,7.80e-16,1.298069,198.70,*,*,*,*,7.71,7.71,1.56e+07,6.74e+31,*
706,J1424-56,315.478,3.911,1.427000,*,0.700771,32.90,*,*,*,*,1.22,1.22,*,*,*
707,J1424-5822,314.897,2.310,0.366734,3.94e-15,2.726772,323.90,*,*,*,*,10.19,10.19,1.47e+06,3.16e+33,*
708,J1424-6438,312.741,-3.561,1.023504,2.40e-16,0.977036,248.00,*,*,*,*,8.31,8.31,6.76e+07,8.84e+30,*
709,J1425-5723,315.382,3.186,0.353263,2.20e-17,2.830753,43.40,*,*,*,*,1.46,1.46,2.54e+08,1.97e+31,*
710,J1425-5759,315.217,2.613,0.707868,7.42e-16,1.412694,325.00,*,*,*,*,10.81,10.81,1.51e+07,8.26e+31,*
711,J1425-6210,313.630,-1.258,0.501730,4.78e-16,1.993103,430.10,*,*,*,*,9.98,9.98,1.66e+07,1.50e+32,*
712,J1427-4158,321.480,17.391,0.586486,6.21e-16,1.705072,71.00,*,*,*,*,5.89,5.89,1.50e+07,1.22e+32,*
713,B1424-55,316.427,4.796,0.570290,2.08e-15,1.753492,82.40,*,*,*,*,2.29,2.29,4.34e+06,4.43e+32,*
714,J1429-5911,315.261,1.299,0.115843,3.05e-14,8.632402,*,*,*,*,*,*,*,6.02e+04,7.75e+35,*
715,J1429-5935,315.046,0.947,0.763915,4.28e-14,1.309046,456.70,*,*,*,*,10.62,10.62,2.83e+05,3.79e+33,*
716,B1426-66,312.653,-5.404,0.785441,2.77e-15,1.273170,65.30,*,*,*,*,1.80,1.80,4.49e+06,2.26e+32,37.443
717,J1431-4715,320.051,12.253,0.002012,1.41e-20,497.029394,59.35,ELL1,0.4497,0.5501,He[btb+15],2.42,2.42,2.26e+09,6.84e+34,10.630
718,J1431-5740,315.962,2.660,0.004111,6.42e-21,243.276805,131.46,BT,2.7269,2.2699,He[bbb+13],4.07,4.07,1.01e+10,3.65e+33,*
719,J1432-5032,318.936,9.155,2.034989,5.92e-15,0.491403,113.00,*,*,*,*,5.72,5.72,5.44e+06,2.78e+31,*
720,J1433-6038,315.092,-0.197,1.954430,5.63e-15,0.511658,409.00,*,*,*,*,9.74,9.74,5.50e+06,2.98e+31,*
721,J1434-6006,315.396,0.256,0.306368,3.02e-15,3.264050,332.00,*,*,*,*,7.25,7.25,1.61e+06,4.15e+33,*
722,J1434-6029,315.310,-0.130,0.963348,1.03e-15,1.038046,282.00,*,*,*,*,5.78,5.78,1.48e+07,4.55e+31,*
723,J1434+7257,113.082,42.153,0.041741,5.50e-19,23.957175,12.61,*,*,*,*,0.75,0.75,1.20e+09,2.99e+32,*
724,J1435-5954,315.577,0.391,0.472995,1.54e-15,2.114185,44.26,*,*,*,*,1.46,1.46,4.86e+06,5.76e+32,*
725,J1435-6100,315.186,-0.641,0.009348,2.45e-20,106.975072,113.70,ELL1,1.3549,6.1840,CO[clm+01],3.25,3.25,6.05e+09,1.18e+33,*
726,J1437-5959,315.783,0.227,0.061696,8.59e-15,16.208474,549.60,*,*,*,*,11.12,11.12,1.14e+05,1.44e+36,*
727,J1437-6146,315.101,-1.422,0.467616,6.33e-15,2.138505,200.50,*,*,*,*,4.77,4.77,1.17e+06,2.44e+33,*
728,J1439-5501,318.097,4.630,0.028635,1.42e-19,34.922434,14.56,ELL1,2.1179,9.8334,CO[pld+13],0.76,0.76,3.20e+09,2.38e+32,*
729,J1439+76,115.405,38.596,0.947903,*,1.054960,22.29,*,*,*,*,1.78,1.78,*,*,*
730,B1436-63,314.646,-3.384,0.459605,1.12e-15,2.175780,124.20,*,*,*,*,4.03,4.03,6.50e+06,4.55e+32,*
731,J1441-6137,315.646,-1.505,1.175840,3.60e-16,0.850456,166.00,*,*,*,*,4.44,4.44,5.18e+07,8.74e+30,*
732,J1443-5122,320.135,7.717,0.732061,3.38e-16,1.366006,87.00,*,*,*,*,3.17,3.17,3.43e+07,3.40e+31,*
733,J1444-5941,316.791,0.098,2.760228,8.23e-15,0.362289,177.10,*,*,*,*,4.38,4.38,5.31e+06,1.54e+31,*
734,J1444-6026,316.400,-0.544,4.758576,1.85e-14,0.210147,367.70,*,*,*,*,8.78,8.78,4.07e+06,6.79e+30,*
735,J1446-4701,322.500,11.425,0.002195,9.81e-21,455.644016,55.83,ELL1,0.2777,0.0640,UL[kjb+12],2.03,2.03,3.54e+09,3.66e+34,4.472
736,J1449-5846,317.720,0.664,0.463330,8.60e-17,2.158291,216.60,*,*,*,*,4.74,4.74,8.54e+07,3.41e+31,*
737,J1452-5851,318.087,0.398,0.386625,5.07e-14,2.586485,262.40,*,*,*,*,5.64,5.64,1.21e+05,3.46e+34,*
738,J1452-6036,317.296,-1.169,0.154991,1.45e-15,6.451973,349.70,*,*,*,*,9.44,9.44,1.69e+06,1.54e+34,*
739,J1453+1902,23.395,60.812,0.005792,1.16e-20,172.642910,14.05,*,*,*,*,0.95,0.95,7.90e+09,2.36e+33,7.515
740,B1449-64,315.733,-4.427,0.179485,2.75e-15,5.571504,71.07,*,*,*,*,2.80,1.84,1.04e+06,1.87e+34,26.640
741,J1454-5846,318.272,0.391,0.045249,8.17e-19,22.100047,115.95,BT,12.4231,26.5289,CO[clm+01],3.32,3.32,8.78e+08,3.48e+32,*
742,J1455-3330,330.722,22.562,0.007987,2.43e-20,125.200245,13.57,ELL1,76.1746,32.3622,He[lnl+95],0.74,0.74,5.21e+09,1.88e+33,8.149
743,J1455-59,318.101,-0.203,0.176191,*,5.675652,498.00,*,*,*,*,11.45,11.45,*,*,*
744,J1456-48,355.891,49.618,0.536810,*,1.862857,133.00,*,*,*,*,6.84,6.84,*,*,*
745,B1451-68,313.869,-8.543,0.263377,9.83e-17,3.796841,8.60,*,*,*,*,0.43,0.46,4.25e+07,2.12e+32,41.371
746,B1454-51,322.134,6.722,1.748301,5.29e-15,0.571984,37.00,*,*,*,*,1.37,1.37,5.24e+06,3.91e+31,*
747,J1457-5900,318.561,-0.027,1.498637,3.66e-15,0.667273,175.00,*,*,*,*,4.25,4.25,6.49e+06,4.29e+31,*
748,J1457-5902,318.538,-0.037,0.390739,1.23e-14,2.559251,477.20,*,*,*,*,11.33,11.33,5.03e+05,8.14e+33,*
749,J1459-6053,317.886,-1.791,0.103151,2.53e-14,9.694559,*,*,*,*,*,*,*,6.47e+04,9.09e+35,*
750,J1501-0046,356.582,48.051,0.464037,2.39e-16,2.155001,22.26,*,*,*,*,2.37,2.37,3.07e+07,9.45e+31,*
751,J1501-5637,320.181,1.810,0.782949,1.70e-16,1.277223,258.00,*,*,*,*,6.75,6.75,7.30e+07,1.40e+31,*
752,J1502-5653,320.186,1.505,0.535504,1.83e-15,1.867398,194.00,*,*,*,*,4.51,4.51,4.64e+06,4.70e+32,*
753,J1502-5828,319.395,0.133,0.668105,3.64e-14,1.496770,584.00,*,*,*,*,12.21,12.21,2.91e+05,4.82e+33,*
754,J1502-6128,317.921,-2.483,0.842104,1.35e-15,1.187502,256.50,*,*,*,*,7.88,7.88,9.90e+06,8.91e+31,*
755,J1502-6752,314.799,-8.067,0.026744,3.15e-19,37.390972,151.20,ELL1,2.4845,0.3175,UL[kjb+12],11.57,11.57,1.35e+09,6.49e+32,15.232
756,J1503+2111,29.062,59.296,3.314002,1.40e-16,0.301750,11.75,*,*,*,*,0.72,0.72,3.75e+08,1.52e+29,*
757,J1504-5621,320.671,1.849,0.412985,5.53e-15,2.421394,143.00,*,*,*,*,3.93,3.93,1.18e+06,3.10e+33,*
758,B1503-51,323.076,5.534,0.840739,6.37e-15,1.189430,61.00,*,*,*,*,1.67,1.67,2.09e+06,4.23e+32,*
759,B1504-43,327.339,12.459,0.286757,1.60e-15,3.487273,48.70,*,*,*,*,1.79,1.79,2.83e+06,2.69e+33,*
760,B1503-66,315.858,-7.297,0.355655,1.16e-15,2.811714,129.80,*,*,*,*,5.62,5.62,4.87e+06,1.02e+33,*
761,B1508+55,91.325,52.287,0.739682,5.00e-15,1.351932,19.62,*,*,*,*,2.10,1.44,2.34e+06,4.88e+32,96.684
762,J1509-5850,319.972,-0.621,0.088922,9.17e-15,11.245841,140.60,*,*,*,*,3.85,3.85,1.54e+05,5.15e+35,*
763,J1509-6015,319.228,-1.815,0.339038,2.12e-15,2.949518,423.60,*,*,*,*,13.63,13.63,2.53e+06,2.15e+33,*
764,B1507-44,327.586,11.729,0.943871,6.10e-16,1.059466,84.00,*,*,*,*,4.22,4.22,2.45e+07,2.86e+31,*
765,J1511-5414,322.598,3.177,0.200384,4.85e-16,4.990426,84.76,*,*,*,*,2.24,2.24,6.55e+06,2.38e+33,*
766,J1511-5835,320.289,-0.508,0.301511,3.44e-16,3.316634,332.00,*,*,*,*,7.10,7.10,1.39e+07,4.95e+32,*
767,J1512-5431,322.486,2.920,2.040532,1.92e-15,0.490068,219.00,*,*,*,*,6.61,6.61,1.68e+07,8.92e+30,*
768,B1508-57,320.772,-0.108,0.128694,6.85e-15,7.770361,628.70,*,*,*,*,12.70,12.70,2.98e+05,1.27e+35,*
769,J1513-5739,321.097,0.104,0.973458,2.75e-14,1.027266,469.70,*,*,*,*,9.84,9.84,5.60e+05,1.18e+33,*
770,B1509-58,320.321,-1.162,0.151251,1.53e-12,6.611515,252.50,*,*,*,*,4.40,5.79,1.56e+03,1.75e+37,*
771,J1513-5946,319.970,-1.697,1.046117,8.53e-15,0.955916,171.70,*,*,*,*,4.26,4.26,1.94e+06,2.94e+32,*
772,B1510-48,325.872,7.835,0.454839,9.25e-16,2.198579,51.50,*,*,*,*,1.59,1.59,7.79e+06,3.88e+32,*
773,J1514-4946,325.249,6.807,0.003589,1.86e-20,278.603009,31.05,ELL1,1.9227,1.9333,He[kcj+12],1.27,1.27,3.05e+09,1.59e+34,30.001
774,J1514-5925,320.284,-1.482,0.148796,2.88e-15,6.720589,194.10,*,*,*,*,4.50,4.50,8.18e+05,3.45e+34,*
775,J1515-5720,321.390,0.282,0.286646,6.10e-15,3.488621,482.00,*,*,*,*,10.32,10.32,7.45e+05,1.02e+34,*
776,J1517-4356,328.850,11.463,0.650837,2.16e-16,1.536483,87.78,*,*,*,*,4.44,4.44,4.79e+07,3.09e+31,*
777,J1517-4636,327.399,9.217,0.886612,2.10e-15,1.127888,127.00,*,*,*,*,10.98,10.98,6.70e+06,1.19e+32,*
778,B1516+02A,3.870,46.802,0.005554,4.12e-20,180.063625,30.08,*,*,*,*,8.00,2.42,2.13e+09,9.50e+33,*
779,B1516+02B,3.859,46.806,0.007947,-3.33e-21,125.834588,29.47,BT,6.8585,3.0486,He[hrs+07],8.00,2.42,*,*,*
780,J1518+0204C,3.856,46.797,0.002484,2.61e-20,402.588228,29.31,ELL1,0.0868,0.0573,He(?)[prf+14],8.00,2.42,1.51e+09,6.72e+34,9.471
781,J1518+0204D,3.864,46.795,0.002988,*,334.672021,29.30,BT,1.2210,1.6000,He[hrs+07],8.00,2.42,*,*,*
782,J1518+0204E,3.864,46.795,0.003182,*,314.267756,29.30,BT,1.0960,1.1500,He[hrs+07],8.00,2.42,*,*,*
783,J1518-0627,355.146,41.002,0.794997,4.18e-16,1.257867,27.96,*,*,*,*,2.69,2.69,3.01e+07,3.28e+31,*
784,J1518+4904,80.808,54.282,0.040935,2.72e-20,24.428979,11.61,DD,8.6340,20.0440,NS[jsk+08],0.70,0.70,2.39e+10,1.56e+31,8.556
785,J1518-5415,323.383,2.675,0.214925,4.06e-17,4.652790,167.20,*,*,*,*,4.26,4.26,8.39e+07,1.61e+32,*
786,J1519-5734,321.800,-0.238,0.518758,4.27e-15,1.927682,664.00,*,*,*,*,13.12,13.12,1.92e+06,1.21e+33,*
787,J1519-6106,319.876,-3.216,2.154307,8.37e-15,0.464186,221.00,*,*,*,*,7.23,7.23,4.08e+06,3.31e+31,*
788,J1519-6308,318.743,-4.896,1.254052,5.96e-15,0.797415,250.00,*,*,*,*,17.81,17.81,3.33e+06,1.19e+32,*
789,J1522-5525,323.231,1.397,1.389605,3.30e-15,0.719629,79.00,*,*,*,*,1.89,1.89,6.67e+06,4.86e+31,*
790,J1522-5735,322.052,-0.415,0.102136,3.12e-14,9.790869,*,*,*,*,*,*,*,5.18e+04,1.16e+36,*
791,B1518-58,321.630,-1.215,0.395353,2.00e-15,2.529386,199.90,*,*,*,*,4.47,4.47,3.13e+06,1.28e+33,*
792,J1524-5625,323.000,0.351,0.078219,3.90e-14,12.784691,152.70,*,*,*,*,3.84,3.84,3.18e+04,3.21e+36,*
793,J1524-5706,322.568,-0.186,1.116049,3.56e-13,0.896018,833.00,*,*,*,*,21.59,21.59,4.96e+04,1.01e+34,*
794,J1524-5819,321.907,-1.201,0.961043,1.26e-13,1.040537,406.60,*,*,*,*,10.87,10.87,1.21e+05,5.60e+33,*
795,J1525-5417,324.258,2.078,1.011694,1.62e-14,0.988441,235.00,*,*,*,*,6.01,6.01,9.91e+05,6.17e+32,*
796,J1525-5523,323.662,1.151,0.355156,8.96e-18,2.815664,124.70,*,*,*,*,3.50,3.50,6.28e+08,7.90e+30,*
797,J1525-5545,323.439,0.851,0.011360,1.31e-19,88.029085,126.93,ELL1,0.9903,4.7105,CO[nbb+14],3.53,3.53,1.37e+09,3.54e+33,*
798,J1525-5605,323.286,0.565,0.280349,1.16e-16,3.566987,338.00,*,*,*,*,6.77,6.77,3.83e+07,2.08e+32,*
799,J1526-5633,323.136,0.093,0.301888,1.23e-16,3.312488,329.00,*,*,*,*,6.44,6.44,3.89e+07,1.76e+32,*
800,B1524-39,333.050,14.020,2.417582,1.91e-14,0.413636,49.00,*,*,*,*,2.01,2.01,2.01e+06,5.33e+31,*
801,B1523-55,323.639,0.590,1.048705,1.13e-14,0.953557,362.70,*,*,*,*,7.15,7.15,1.47e+06,3.86e+32,*
802,J1528-3146,337.939,20.217,0.060822,2.49e-19,16.441357,18.16,DD,3.1803,11.4523,CO[jbo+07],0.99,0.99,3.87e+09,4.37e+31,*
803,J1528-4109,332.106,12.671,0.526556,3.96e-16,1.899133,89.50,*,*,*,*,5.96,5.96,2.11e+07,1.07e+32,*
804,J1528-5547,323.796,0.579,3.467302,7.75e-15,0.288409,269.00,*,*,*,*,5.55,5.55,7.09e+06,7.34e+30,*
805,J1529-3828,333.886,14.728,0.008486,2.70e-20,117.837233,73.62,DD,119.6748,29.3405,He[nbb+14],4.85,4.85,4.98e+09,1.74e+33,*
806,J1529-5355,325.006,2.009,0.891265,8.10e-16,1.122001,292.00,*,*,*,*,7.75,7.75,1.74e+07,4.52e+31,*
807,J1529-5611,323.678,0.173,0.822249,4.10e-15,1.216177,149.00,*,*,*,*,3.77,3.77,3.18e+06,2.91e+32,*
808,J1530-5327,325.328,2.347,0.278957,4.68e-15,3.584785,49.60,*,*,*,*,1.46,1.46,9.44e+05,8.52e+33,*
809,J1530-63,319.510,-6.111,0.910300,*,1.098539,200.00,*,*,*,*,13.60,13.60,*,*,*
810,J1531-4012,333.147,13.113,0.356849,9.63e-17,2.802303,106.65,*,*,*,*,7.75,7.75,5.87e+07,8.37e+31,*
811,J1531-5610,323.897,0.033,0.084202,1.37e-14,11.876247,110.90,*,*,*,*,3.10,3.10,9.71e+04,9.09e+35,*
812,B1530+27,43.481,54.495,1.124836,7.80e-16,0.889019,14.70,*,*,*,*,0.98,0.98,2.29e+07,2.16e+31,*
813,J1532-5308,325.780,2.434,0.443825,6.50e-17,2.253142,181.00,*,*,*,*,4.45,4.45,1.08e+08,2.94e+31,*
814,J1532-56,323.790,-0.321,0.522977,*,1.912130,282.00,*,*,*,*,5.69,5.69,*,*,*
815,J1534-4428,331.161,9.261,1.221426,1.80e-16,0.818715,137.30,*,*,*,*,10.94,10.94,1.08e+08,3.90e+30,*
816,J1534-46,330.007,7.910,0.364835,*,2.740965,64.40,*,*,*,*,1.91,1.91,*,*,*
817,B1530-53,325.716,1.944,1.368881,1.43e-15,0.730524,24.82,*,*,*,*,1.13,1.13,1.52e+07,2.19e+31,*
818,B1530-539,325.463,1.483,0.289689,1.54e-15,3.451979,190.82,*,*,*,*,4.26,4.26,2.97e+06,2.51e+33,*
819,J1535-4114,333.175,11.821,0.432866,4.07e-15,2.310183,66.28,*,*,*,*,2.80,2.80,1.68e+06,1.98e+33,*
820,J1535-4415,331.447,9.324,0.468402,4.05e-17,2.134920,110.70,*,*,*,*,5.38,5.38,1.83e+08,1.56e+31,*
821,J1535-5450,325.194,0.757,0.566734,1.43e-14,1.764496,219.80,*,*,*,*,4.63,4.63,6.26e+05,3.11e+33,*
822,J1535-5848,322.797,-2.406,0.307178,2.72e-15,3.255445,107.00,*,*,*,*,3.13,3.13,1.79e+06,3.70e+33,*
823,J1536-3602,336.555,15.841,1.319759,7.90e-16,0.757714,96.00,*,*,*,*,6.45,6.45,2.65e+07,1.36e+31,*
824,J1536-4948,328.157,4.838,0.003080,*,324.675325,38.00,*,*,*,*,1.34,1.34,*,*,*
825,J1536-5433,325.374,0.980,0.881438,1.91e-15,1.134509,147.50,*,*,*,*,3.72,3.72,7.31e+06,1.10e+32,*
826,J1536-5907,322.722,-2.734,0.557841,1.37e-15,1.792627,316.00,*,*,*,*,12.09,12.09,6.47e+06,3.11e+32,*
827,B1534+12,19.848,48.341,0.037904,2.42e-18,26.382133,11.62,DD,0.4207,3.7295,NS[sttw02],1.05,0.68,2.48e+08,1.76e+33,25.328
828,J1537-4912,328.705,5.181,0.301311,1.93e-15,3.318833,69.70,*,*,*,*,1.82,1.82,2.47e+06,2.79e+33,*
829,J1537-5153,327.088,3.035,1.528124,4.17e-15,0.654397,93.00,*,*,*,*,2.63,2.63,5.80e+06,4.62e+31,*
830,J1537-5645,324.283,-0.943,0.430464,2.78e-15,2.323074,707.00,*,*,*,*,24.59,24.59,2.45e+06,1.38e+33,*
831,J1538+2345,37.318,52.391,3.449385,6.89e-15,0.289907,14.91,*,*,*,*,0.98,0.98,7.93e+06,6.63e+30,*
